Heliostat field,,,"IFS(SQRT(POWER(A3,2)+POWER(B3,2)+POWER(180,2))>1200,1600,SQRT(POWER(A3,2)+POWER(B3,2)+POWER(180,2))>800,1200,SQRT(POWER(A3,2)+POWER(B3,2)+POWER(180,2))>400,800,SQRT(POWER(A3,2)+POWER(B3,2)+POWER(180,2))>0,400)",,8*COS(M3),8*sin(M3),"IFS(AND(D3=400,O3>0.5),NORM.INV(RAND(),187,0.3),AND(D3=400,O3<=0.5),NORM.INV(RAND(),173,0.3),AND(D3=800,O3>0.5),NORM.INV(RAND(),184,0.8),AND(D3=800,O3<=0.5),NORM.INV(RAND(),176,0.8),AND(D3=1200,O3>0.5),NORM.INV(RAND(),182,0.9),AND(D3=1200,O3<=0.5),NORM.INV(RAND(),178,0.9),D3=1600,NORM.INV(RAND(),180,1.2))",,,,"NORM.INV(RAND(),0,0.28)","ATAN2(A3,B3)","IFS(AND(D3=400,O3>0.5),NORM.INV(RAND(),187,0.1),AND(D3=400,O3<=0.5),NORM.INV(RAND(),172,0.1),AND(D3=800,O3>0.5),NORM.INV(RAND(),185,0.1),AND(D3=800,O3<=0.5),NORM.INV(RAND(),175,0.1),AND(D3=1200,O3>0.5),NORM.INV(RAND(),183,0.1),AND(D3=1200,O3<=0.5),NORM.INV(RAND(),177,0.1),D3=1600,NORM.INV(RAND(),180,0.1))",RAND()
Heliostat x,Heliostat y,Heliostat z,Focal Length x,Focal Length y,Aiming point x,Aiming point y,Aiming point z,Heliostat width (x),Heliostat length (y),Heliostat z-normal rotation,,theta,,
150.882096,-243.952776,0,400,400,4.20808857,-6.803821763,173.3444968,11.415,10.421,0,0.389314582,-1.016892823,172.0234741,0.499797494
124.879608,-258.232656,0,400,400,3.482867524,-7.20205761,186.9354384,11.415,10.421,0,-0.341874989,-1.120359935,186.9042955,0.930925424
97.539048,-269.751048,0,400,400,2.720336909,-7.523281671,186.9466727,11.415,10.421,0,-0.11850941,-1.223834647,187.0730781,0.775150507
69.153024,-278.382984,0,400,400,1.92866173,-7.764036575,186.3310861,11.415,10.421,0,0.166475965,-1.327315008,187.0023967,0.622134026
40.029384,-284.037024,0,400,400,1.116409136,-7.92171892,187.4438738,11.415,10.421,0,0.374688234,-1.43078822,186.8851267,0.913333269
10.479024,-286.652208,0,400,400,0.292257411,-7.994659818,186.9822946,11.415,10.421,0,0.633288948,-1.53425602,187.0241507,0.988829273
-10.479024,-286.652208,0,400,400,-0.292257411,-7.994659818,187.3860596,11.415,10.421,0,0.095049615,-1.607336634,186.9774059,0.683173878
-39.965376,-284.04312,0,400,400,-1.114635195,-7.921968719,173.3086668,11.415,10.421,0,-0.567253186,-1.710580503,172.0530575,0.192223206
-69.028056,-278.413464,0,400,400,-1.925179877,-7.764900672,186.4088248,11.415,10.421,0,0.082392485,-1.813829211,186.8745999,0.5180876
-97.356168,-269.815056,0,400,400,-2.715254684,-7.525117408,187.6975016,11.415,10.421,0,0.068603701,-1.917082556,186.8658242,0.918194862
